commit,gpu,driver,nvcc,torch,ncu,clock_mhz,impl,stage,dtype,B,H,N,D,causal,ms_median,ms_p10,ms_p90,tflops,gbps,notes
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.8778,4.8681,4.8951,3.522,3.5,run=2026-09-03T08:17:34Z;clock_lock=585;iters=102;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br32_bc16_pf0
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.7244,4.7104,4.7360,3.636,3.6,run=2026-09-03T08:17:37Z;clock_lock=585;iters=106;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br32_bc16_pf1
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.4767,4.4501,4.4947,3.838,3.8,run=2026-09-03T08:17:41Z;clock_lock=585;iters=112;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br32_bc32_pf0
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.3628,4.2956,4.3787,3.938,3.9,run=2026-09-03T08:17:45Z;clock_lock=585;iters=114;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br32_bc32_pf1
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,3.9544,3.9289,3.9648,4.344,4.3,run=2026-09-03T08:17:48Z;clock_lock=585;iters=126;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br32_bc64_pf0
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,3.8378,3.7635,3.8491,4.477,4.4,run=2026-09-03T08:17:52Z;clock_lock=585;iters=130;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br32_bc64_pf1
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.3935,4.3866,4.4006,3.910,3.8,run=2026-09-03T08:17:56Z;clock_lock=585;iters=114;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br64_bc16_pf0
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.2975,4.2914,4.3040,3.998,3.9,run=2026-09-03T08:17:59Z;clock_lock=585;iters=116;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br64_bc16_pf1
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.4670,4.4538,4.4738,3.846,3.8,run=2026-09-03T08:18:03Z;clock_lock=585;iters=112;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br64_bc32_pf0
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,4.1544,4.1478,4.1636,4.135,4.1,run=2026-09-03T08:18:07Z;clock_lock=585;iters=120;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br64_bc32_pf1
d835758,Tesla T4,580.82.07,12.8.93,2.11.0+cu128,2025.1.1.0,585,tuned,5,fp16,2,8,2048,64,0,3.9425,3.9322,3.9559,4.358,4.3,run=2026-09-03T08:18:11Z;clock_lock=585;iters=127;max_err=1.216e-04 torch_same_dtype_err=2.687e-04 tol=5.385e-04 cap=1e-02;variant=br64_bc64_pf0
